segment_row_idx,topic_id_matrix,topic_id_assumed,p_topic,topic_id,show,year,decade,topic_final,topic_name_final,model_text,topic_name,topic_rank
29,16,16,0.1860076385191336,16,Hugo Goodman,1974,1970,16,Religión,"Acá tenemos el... oye, ¿seguís bueno para el que te dije? ¿Ah? El otro día estaba tan borracho en una esquina, estaba cocido. Diciéndole piropos a todas las mujeres que pasaban. Pasó una monjita. El borracho, ¿cómo está? Le dice la monja: «Adiós, mi vida. Me quiero casar contigo». La monja se ofende y le dice: «Insolente, maleducado, ¿qué no está viendo que yo soy hermana de Dios?». «Chita, manso cuñazo que me voy a gastar».",Religión,1
30,8,8,0.0829166685746841,8,Hugo Goodman,1974,1970,12,Reggaeton,"vamos a hacer una imitación a un tema que me valió un premio en los Estados Juntos. El premio me lo dio un general muy famoso que hay allá en Washington, General Electric",Festival,1
36,0,0,0.1528578600587417,0,Hugo Goodman,1974,1970,0,Chilenidad,"Después fuimos a España. España es un país fabuloso, la gente es muy simpática África, muy hermoso el país. Lo único que no me gustó son algunas bailarinas españolas. Se creen la gran cosa cuando están bailando, se miran aquí atrás y se aplauden solas: «Qué buena estoy.»",Chilenidad,1
38,0,0,0.4318171660259516,0,Gloria Benavides,1977,1970,0,Chilenidad,"Oye, Anthony, ¿te has fijado una cosa? Que estamos muy... muy como visitados por los argentinos. Pero fíjese que es increíble, ¿eh? En realidad estamos muy visitados por los argentinos. Y han sido ilustres visitas en todo. Ilustres visitas, pero yo quisiera decirle una cosita. Fíjese que los argentinitos son un poquito flojitos a veces, ¿eh? ¿Por qué iban a ser flojos los argentinos? No, si yo los quiero mucho, pero fíjese que yo le voy a decirles por qué son un poco flojitos. ¿Se ha fijado usted en la letra de los tangos? La letra por ejemplo le dice: «Pare aquí, aquí chofer y ayúdeme a bajar, por favor». ¿Por qué no baja solo? ¿O quiere que lo bajen en brazo? No, po.",Chilenidad,1
40,8,8,0.0860402690612017,8,Gloria Benavides,1977,1970,22,Vicios,"Ahora fíjate que yo quisiera dedicarle un tanguito, digamos, tipo canción argentina. A mi novio, porque yo también tengo novio. Claro, claro que el cabro, no sé, pues medio medio inútil el cabro. ¡Es más inútil que cenicero de moto, ¿me entendí?! No, en realidad, fíjate que mi novio tiene varios defectos; fuera de ser inútil, es más flojo que gato de chalet, cabro. Espantoso.",Festival,1
44,13,13,1.0,13,Gloria Benavides,1977,1970,13,Desvaríos,"Yo le voy a decir una cosa, en realidad voy a dejar mi gabietita aquí un ratito, ¿ah? Y les voy a decir una cosa. La Gloria Benavides en realidad media foamy, media aburrida de que va a volver la cucha dientes.",Desvaríos,1
45,13,13,1.0,13,Gloria Benavides,1977,1970,13,Desvaríos,"Mi galindita querida, te vaya a irte a lavar los tajos no más. Corazoncito mío.",Desvaríos,1
46,25,25,1.0,25,Gloria Benavides,1977,1970,25,Pegados,"Lo que yo podría cantarles es la canción preciosa que puede ser la de Ester Felli. Sí. La de la señora Ester Felli. Listo, maestro, la canción de la señora Ester Felli con don Sergio. «Oye bien, el cabro ya nació. Y salió repartido a vos. Guatón chico, patas cortas y cabezón. Y salió regüeno para el cañón».",Pegados,1
47,19,19,1.0,19,Gloria Benavides,1977,1970,19,Copuchas,"«Igualito a su papito, el cabritito me salió. Guatoncito y bien guachaca, y el caracho rojo como vos».",Copuchas,1
49,33,33,0.0878727992090821,33,Edmundo Arrocet,1978,1970,33,Sueños,"Para más remates salgo hoy día en la mañana y un me para un carabinero, un muchacho de verdad que él y me dice: «¿Usted también, oiga? ¿Le parece poco con lo de anoche?».",Sueños,1
50,12,12,0.1025157333429981,12,Edmundo Arrocet,1978,1970,25,Pegados,"Lo peor de todo, lo peor de todo que anoche el maestro Raiconis me agarró envidia y empezó a dirigir la orquesta como la dirigí yo, ¿no? ¿Cómo estuvo la dirección? Maestro Raic... el Raic Cornejo que dirigió, ¿cómo dirigió la orquesta? El maestro Raic Cornejo. La canción de la papa. En inglés, «The Son of the Potatoes».",Reggaeton,1
50,29,29,0.1002406877529026,29,Edmundo Arrocet,1978,1970,25,Pegados,"Lo peor de todo, lo peor de todo que anoche el maestro Raiconis me agarró envidia y empezó a dirigir la orquesta como la dirigí yo, ¿no? ¿Cómo estuvo la dirección? Maestro Raic... el Raic Cornejo que dirigió, ¿cómo dirigió la orquesta? El maestro Raic Cornejo. La canción de la papa. En inglés, «The Son of the Potatoes».",Personajes,2
51,36,36,1.0,36,Edmundo Arrocet,1978,1970,36,Aviación,"Veníamos en el avión nosotros tranquilamente, veníamos en un avión de aerolíneas argentinas para que le diga a nadie nosotros más amargado si le Déjeme contarle. Pero déjeme contarle, veníamos en el avión, bueno, nos cambiamos para otro aerolínea entonces, pero no hablábamos nada en Argentina, no hablábamos nada. Veníamos en aerolínea lo que el viento se llevó. Lo que el viento Entonces veníamos en la y de repente el capitán. Atención, torre de control llamando. Tenemos cancha para utilizar o no tenemos cancha para utilizar. Atención, torre de control informa que aún no hay cancha para utilizar. Bueno, ¿y qué podemos hacer? De ese en otra vueltecita. ¿Para qué le digo nada, oiga? Nosotros más contentos que perro con pulga, dando vuelta por la vega, dándole vuelta a la payasada, cuando de repente llama a nuevo el capitán y nos dice, ""Atención, torre de control, tenemos cancha para aterrizar, se nos está acabando la gasolina. ¿Qué podemos hacer? ¿Qué podemos hacer? Pero de control informa que lo único que pueden hacer es rezar un padre nuestro y usted también el desgraciado porque vamos derechito a la torre de control. Le dicho.",Aviación,1
53,0,0,0.096363547882912,0,Edmundo Arrocet,1978,1970,0,Chilenidad,"Me junto con un amigo mío y y nos fuimos a recorrer nosotros el cerro Santa Lucía por Madrid... no es que a uno le gusta después de 4 años que no lo veía y me di cuenta, oiga, que toda la gente del cerro Santa Lucía, oiga, ¿se ha dado cuenta usted que tiene las orejas para abajo así y la frente un día? Porque a ese tipo de las 12 se dicen: ""¿Y ese ruido?"" El cayonazo. Buena película.",Chilenidad,1
54,26,26,0.1029694298881549,26,Edmundo Arrocet,1978,1970,22,Vicios,"Seguimos caminando con mi compadre, de repente voy caminando por la calle y veo un rotito de de esos rotos que nos... Falta se rota sin pata, que así pareció a mí hace 4 años, que está así mirando un pajarito en una pajarería. Como media hora mirando el pájaro, se acerca un señor bien parta, seguía mirando así y el rotito le dice: ""Oiga, perdón, caíllo, ¿cómo se llama ese pajarito?"" El niato lo mira y le dice: ""Lo ignoro."" ""¡Oy, qué bonito el ignorito!""",Granja,1
55,0,0,0.1668294451493834,0,Edmundo Arrocet,1978,1970,0,Chilenidad,"Oiga, fíjese que le quería contar yo, le quería contar desde que el otro día estábamos conversando con el Julio, oiga. Estábamos conversando con el Julio Iglesias, porque estábamos en Guatemala y nos agarró un terremoto en Guatemala. Así que nos agarra el terremoto en Guatemala y Julio no había escuchado nunca un terremoto, así que este asustado Julio le dijo: «Si no te preocupés, perico, si nosotros en Chile el día que no tenemos temblor, andamos amargados, así que tú muévete tranquilo.» De repente, oiga, el terremoto fue feroz porque se cayó, se vino todo abajo, se viene todo abajo, toda la calle se va a rezar, todo el mundo rezando porque eso es lo malo que tenemos nosotros los chilenos, que rezamos cuando tenemos problemas, cuando no tenemos problemas no rezamos nunca. Así que está el Julio rezando, yo también estaba rezando. El curita estaba fuera de la iglesia dirigiendo los rezos, porque imagínese usted rezando por el terremoto. Entonces el curita estaba fuera y decía: «El Ave María», y toda la gente, «el Padre nuestro». «Él cree en Dios Padre.» De repente, el cura hace así, mira para arriba y ve una tabla en la iglesia que se está por caer. Entonces, el cura dice: «¡La tabla!». Y la gente responde: «Una por una, una; una por dos, dos; una por tres, tres; una por cuatro...»",Chilenidad,1
55,28,28,0.1652376511509157,28,Edmundo Arrocet,1978,1970,0,Chilenidad,"Oiga, fíjese que le quería contar yo, le quería contar desde que el otro día estábamos conversando con el Julio, oiga. Estábamos conversando con el Julio Iglesias, porque estábamos en Guatemala y nos agarró un terremoto en Guatemala. Así que nos agarra el terremoto en Guatemala y Julio no había escuchado nunca un terremoto, así que este asustado Julio le dijo: «Si no te preocupés, perico, si nosotros en Chile el día que no tenemos temblor, andamos amargados, así que tú muévete tranquilo.» De repente, oiga, el terremoto fue feroz porque se cayó, se vino todo abajo, se viene todo abajo, toda la calle se va a rezar, todo el mundo rezando porque eso es lo malo que tenemos nosotros los chilenos, que rezamos cuando tenemos problemas, cuando no tenemos problemas no rezamos nunca. Así que está el Julio rezando, yo también estaba rezando. El curita estaba fuera de la iglesia dirigiendo los rezos, porque imagínese usted rezando por el terremoto. Entonces el curita estaba fuera y decía: «El Ave María», y toda la gente, «el Padre nuestro». «Él cree en Dios Padre.» De repente, el cura hace así, mira para arriba y ve una tabla en la iglesia que se está por caer. Entonces, el cura dice: «¡La tabla!». Y la gente responde: «Una por una, una; una por dos, dos; una por tres, tres; una por cuatro...»",Presidencia,2
60,11,11,1.0,11,Edmundo Arrocet,1978,1970,11,Dinero,"norteamericano de Chicago, usted sabe que siempre los Chicago son medio aganterados así, ja. Entonces llega el norteamericano y dice, «Yo tener tanto dinero que poder construir una muralla de 150 m de largo por 40 m de altura de puro oro.» Llega el norteamericano de Nueva York y dice, «Oh, bueno, yo también tener mucho dinero, poder construir una muralla doblemente más grande que la suya con incrustaciones de diamante y de perla.» Llega el rotítolo que me ha dicho, «Si le queda bonita se le la compro, jefe.»",Dinero,1
62,26,26,1.0,26,Carlos Helo,1979,1970,26,Granja,"También decíamos, por ejemplo, me estaba acordando recién así haciendo recuerdo no de cosas. Recién vengo yo al festival de los animales donde la gallina perdió justamente, le miraron ayer porque se le atravesó un gallo.",Granja,1
63,0,0,1.0,0,Carlos Helo,1979,1970,0,Chilenidad,"También, por ejemplo, decía recién yo que el chileno de por sí somos graciosos. Fíjese que un ratito el otro día, hará unos tres o cuatro días, justo se encuentra un billete de a 1000 pesos, lo pesca y un señor judío le dijo: «¿Para dónde va con esos 1000 pesos? Son míos». «Córtela, pues yo sé que primero que lo ve es él». «No, son míos». «Bueno, yo ni que los coleccionara, pues está loco. Bueno, los 1000 pesos los encontré yo, son míos». «¿De dónde vas? Demuéstrame que son suyos». «La serie es AC 20 48 65». El Rotito miró y dijo: «AC 20 48 65, justamente son suyos. Los perdí. Tómelo por el ojo, señor Rafaelita se los lleva». Y el Roto medio picado dijo: «Por lo menos, eh, dame las gracias». Y el judío le dijo: «Agradece tú que lo tuviste 20 minutos y no te cobré interés».",Chilenidad,1
64,1,1,1.0,1,Carlos Helo,1979,1970,1,Familia,"El otro día al papá le dijeron: «2 * 2», y dijo: «¡empate!».",Familia,1
65,15,15,0.2281814795688553,15,Carlos Helo,1979,1970,15,Escuela,"Pero, sin embargo, los cabros se defienden como sea en el colegio, pero con uñi muña. A ver, venga por acá. El examen. «Señor...». «¿Quién descubrió América?». «Señor, ¡por Dios! ¿Quién descubrió América?». «Señor, por Dios, todo el tiempo... no sé. Yo no vi a nadie, señor, ¿por qué me echas la culpa si...? Pero ¿quién descubrió América? Si yo digo, por Dios, que no... claro, como mi papá en la Unidad Popular, por eso que me tienen bronca ustedes a mí. ¿Quién descubrió América? Pero ¿cómo te llamas tú?». «Cristóbal Colón González, señor».",Escuela,1
68,7,7,1.0,7,Carlos Helo,1979,1970,7,Remates,"Y así son graciosos los curitas. El otro día un paisano me decía delante: «Está don Pedro Vargas, allá me ha dejado lindo de un cal». No, me dijo usted: «Un vecino mío allá en Patronato». Dígale a don Pedro Vargas de parte mía que cuando cante, por favor, cante el valderjeso de cabra. «¿Qué cosa?». «El valderjeso de cabra». «¿Cuál es?». «Luna Jesocabra sobre la tiniebla de mi su libertad».",Remates,1
69,19,19,0.0871204187516671,19,Carlos Helo,1979,1970,16,Religión,"Contaba también. Un señor árabe se va a confesar y le dice al padre: «Padre, quiero hablar con usted en forma sanforizada y doble ancho». «¿De qué se acusa, hijo?». «Me acuso, padre, que el año 34 quemé un negocio en Coquimbo». «¿Y por qué?». Dijo: «Bueno, usted sabe el negocio malo». Entonces se inventó el seguro, me dijeron: «Asegúrate, sácale plata, listo, saca la mercadería en la noche y préndale fuego». Y así lo hizo. «Así lo hice, padre, hay que hacer la plata con alto jalo, usted sabe el negocio malo, está flojo, pues, hijo». Incendio más la juntame nombre incendente del fuego. Eso es malo, ¿eh? «Es malo, pero no es malo, doctor». Entonces el cura le dijo ya: «30 Padre Nuestro y 40 Ave María». «Se lo juro por mi madre, padre, por la salud de mi hijo muerto que no sé rezar en castellano, por Dios. ¿Qué puedo hacer? Hágame una bermuta». «¿Qué cosa?». «Bermuta. Ah, ya. Este, ¿qué cosa? Este, deme otro. No sé rezar en castellano». «Bueno, salga a la calle y haga una obra de bien». «¿Qué cosa que quiere? Ponga coche comedor al metro». «No puede. Una obra de bien, salga y diga y a la primera persona que encuentre dele 300 pesos». «¿Sea quien sea?». «Sea quien sea». «¿Con boleta o sin boleta?». «Ay, váyase nomás». «Adiós padre, hasta luego». Salió el paisano feliz, ¿eh? Y venía esta chiquilla que cuando caminan parece que dijeron: «Sígueme negro que tengo premio», ¿no? Estas cabras que usan esos pantalones más apretados que forro de salami, así. ¿La has visto así? Esa cabra que a uno lo confían rumbo a la Polinesia justo cuando está en la edad uno que uno se marea en el bote, ¿eh? Pasa la chiquilla y va a salir de mi hijita linda: «Venga para acá, para usted 300 pesos». «¿300 pesos? ¿Qué te creí que soy la liquidación de esta parte? Son 1000». «El señor cura me dijo que eran 300». «El señor cura es cliente muy antiguo», le dijo.",Copuchas,1
70,16,16,1.0,16,Carlos Helo,1979,1970,16,Religión,"Decía que el párroco de los artistas, el capellán, no es igual que el capellán del ejército, porque el capellán del ejército es diferente; pero sabían en un entierro el capellán del ejército dice: «En paz». ¿Ve qué es diferente? Imagínese a las mujeres en la guerra: «Saluda tú mi amor, ¿van a atacar mañana? ¿A qué hora? Ay, o vamos todos juntos. Sí, porque tengo hora en la peluquería. Sí, mi amor, lógico. Sí tengo pistola, dos: la de mi novio que me la regaló y la pistola que me regaló el ejército. Oh, la de mi novio es preciosa con concha perla y todo, es pistola polvera, o sea, que disparo, pum, y enseguida me empolvo, así. Sí. Vamos, vamos, pues linda, no queríamos andar con botas. Así no más, pues, mi amor. Sí, cada una se hace, sí, el uniforme como quiera, no hay problema. Para el desfile, ¿no? Si no es desfile de moda, linda, desfile militar. ¡Sí! Mmm. Mira, yo me mandé a hacer, por ejemplo, una falda para el desfile, una falda gordesaz, así. Y no, abajo no me pongo nada, pues, linda, llevo el caballo. Claro, soy de caballería. Mhm. Sí, mi amor. Y arriba un bolerito cortito así para tapar las bombas, ¿me entiendes tú? Sí, sí». Dicen ahora, pues sí, aló. «Thank you. Chao, linda. Hasta luego, hija. Que mates bien».",Religión,1
