topic_final,old_topic_name,proposed_title,proposed_description,theme,n_segments,year_min,year_max,top_keywords,top_shows,example_text_1,example_text_2,example_text_3
10,10_maestro_hora hora_ruperto_hora,"Vida cotidiana y observación social: maestro, hora hora, ruperto","Cluster con 160 segmentos (1973-2025) centrado en maestro, hora hora, ruperto, hora, juan pérez. Predomina en rutinas de Ruperto, Dinamita Show.",Vida cotidiana y observación social,160,1973,2025,"maestro, hora hora, ruperto, hora, juan pérez, pérez, pasando, favor, carrete","Ruperto, Dinamita Show, Gloria Benavides","Señor Bustos. Mucho gusto. Ando buscando a Horacio Sabedra, ¿lo han visto por ahí? Aquí está Horacio, casi lo piso. Maestro, yo quiero y en esta oportunidad que me deje dirigir la orquesta si me permite. ¿De parte de qui...","Por favor, este es un festival serio. Venga inmediatamente. Mira, lo que pasa, Anthony, es que el maestro Sabedra, como es chiquitito, le subió rápidamente el frío por las piernas. Y entonces le vinieron ganas de de lava...","No, no, no, no, no, se acerca. ¡No! ¡Ay, ay, ay, ay! No, no, ahí no. ¡Ay, chiquito! ¡Oh, Dios de la Quinta Verga! ¡Uh! ¡Wow! ¡Leo! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ay! ¡No, socorro! ¡No! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Ah! ¡Estoy aqu..."
11,11_hijos_mamá_papá_hijo,"Familia y crianza: hijos, mamá, papá","Cluster con 223 segmentos (1974-2025) centrado en hijos, mamá, papá, hijo, hija. Predomina en rutinas de Edo Caroe, Javiera Contador.",Familia y crianza,223,1974,2025,"hijos, mamá, papá, hijo, hija, jesús, mamita, maternidad, cobucha, papás","Edo Caroe, Javiera Contador, Belén Mora","Esos carteles nos gustan, no el cartel del confort, de los pollos, esa huevada no nos gustan. Bueno, el matrimonio es algo muy difícil. La historia me da la razón, el matrimonio más difícil de la historia era el de San J...","Ser mujer es muy difícil. Ser mujer es un camino muy gratificante, es dignificante y maravilloso, pero es muy complicado incluso desde antes de nacer. Yo personalmente no tengo hijos y cada vez tengo menos ganas de tener...","sobre todo. Linda, tierna la figura del canguro humano. Yo pues no le he encontrado gracia alguna a ver si uno frente a un espejo completamente metamorfoseada, inflamada, estriada, flatulenta con un genio que el pobre ma..."
12,12_perro_perrito_selva_lobo,"Vida cotidiana y observación social: perro, perrito, selva","Cluster con 134 segmentos (1973-2025) centrado en perro, perrito, selva, lobo, caperucita. Predomina en rutinas de Dinamita Show, Stefan Kramer.",Vida cotidiana y observación social,134,1973,2025,"perro, perrito, selva, lobo, caperucita, chao chao, chao, roja, caperucita roja, loro","Dinamita Show, Stefan Kramer, Melón y Melame","A tomar. A tomar, tomar, tomar, tomar, tomar. Se me puso el pantalón. Va. No corras. Va, va. Tres por cuatro. Dos y me llevo una, va.","...nervioso, que la corriente del Niño en la colonia de Invierno. Ayer salí a pasear para la playa, me puse el traje de baño, dije: ""Voy a ir a pasear los chunchules un rato"". Iba caminando por la arena, si a repente una...","escena del bosque, cuento universal, pero con versión final chileno. Cabrocita roja le dice al lobo, ""Lobo, te estás poniendo a caer más colorado."" Sí, oh, sí sé. Lobo, se están asomando las venitas a la frente. Sí, oh,..."
13,13_ay ay_salta salta_salta_ay,"Vida cotidiana y observación social: ay ay, salta salta, salta","Cluster con 132 segmentos (1973-2024) centrado en ay ay, salta salta, salta, mosca, derecha. Predomina en rutinas de Hugo Varela, Gloria Benavides.",Vida cotidiana y observación social,132,1973,2024,"ay ay, salta salta, salta, mosca, derecha, derecha derecha, oh oh, bomba","Hugo Varela, Gloria Benavides, Jappening con ja","¡Todo el mundo salta! ¡Todo el mundo salta! ¡Todo el mundo salta! ¡Todo el mundo salta! ¡Todo el mundo salta! ¡Todo el mundo salta! ¡Muchas gracias, Chile! Perdón por la molestia. ¡Muchas gracias! ¡Miña Cora! ¡Miña Cora!","¡Bailaste! ¡Coniste! ¡Coniste! Ahora sí, todos juntos: ¡bailarte! ¡Coniste! ¡Bailaste! ¡Coniste! A ver, a ver, a ver, despacito. Vamos a ver si si esto se quiere chacotear. Todos se van a parar. Todos se paran para demos...","alguno por ahí que se siente como distinto. Como que lo empujan otros vientos, mariposa. O perrito, que eso, cada uno es su estilo. ¿Se animan entonces a que hagamos esta especie de juego canción a modo de despedida, sí?..."
14,14_ho_ho ho_aplauso_muchas,"Vida cotidiana y observación social: ho ho, aplauso, muchas","Cluster con 96 segmentos (1974-2025) centrado en ho ho, aplauso, muchas, corazón, chao. Predomina en rutinas de Dino Gordillo, Pedro Ruminot.",Vida cotidiana y observación social,96,1974,2025,"ho ho, aplauso, muchas, corazón, chao, muchísimas, cariño, fuerte","Dino Gordillo, Pedro Ruminot, Coco Legrand","El humor diferente, el humor de circunstancias, el humor de un amigo que una vez más retorna. Y junto con el aplauso para Hugo, yo pido un aplauso para la amistad de dos países que se abrazan en una cordillera. ¡Porque e...","Un millón de gracias, pásenlo muy bien y me voy muy agradecido a ustedes. Chao. Viña del Mar saluda Coco el Gran en esta noche. Su mejor saludo, su mejor recuerdo","Estados Unidos, va a la Casa Blanca y digo: ""El señor Bill Clinton está en Ohio, amigo"". Mil gracias de todo corazón. Ha sido un gran placer de haber estado con usted. El aplauso para el gran, gran Sandy. Bien, muchas gr..."
15,15_hombres_mujeres_mujer_hombre,"Vida cotidiana y observación social: hombres, mujeres, mujer","Cluster con 149 segmentos (1992-2025) centrado en hombres, mujeres, mujer, hombre, pedo. Predomina en rutinas de Daniela ""Chiqui"" Aguayo, Palta Meléndez.",Vida cotidiana y observación social,149,1992,2025,"hombres, mujeres, mujer, hombre, pedo, cartero, mina, baño, cartero cartero, pene","Daniela ""Chiqui"" Aguayo, Palta Meléndez, Jenny Cavallo","Muchos dicen, ""¿Por qué favorece a la mujer la mentira en comparación al hombre? Porque los cerebros no son iguales."" No. Los cerebros son distintos. El cerebro del hombre es monofuncional. ¿Qué quiere decir? Que el homb...","A las pocas feministas que hay acá, les quiero preguntar algo. ¿A ustedes les ha pasado que les dicen eh que hay mucha gente que nos dice a las feministas eso, ¿no? Que nos dicen como eh encuentro que está superbién su l...","siempre acostumbrado eh o tratado de de entregar un mensaje y y hoy como hombre chileno me gustaría hablar de feminismo. Yo no soy feminista. Porque no puedo hacerlo. Soy hombre. Yo antes decía: ""No, si yo soy feminista""..."
16,16_comida_comer_dieta_mamá,"Familia y crianza: comida, comer, dieta","Cluster con 122 segmentos (1974-2025) centrado en comida, comer, dieta, mamá, pan. Predomina en rutinas de Daniela ""Chiqui"" Aguayo, Belén Mora.",Familia y crianza,122,1974,2025,"comida, comer, dieta, mamá, pan, comió, hija, mamita, italiano, completo","Daniela ""Chiqui"" Aguayo, Belén Mora, Dinamita Show","Como toda mujer me gusta impresionar, mantener mi silueta esbelta bien estilizada. Hago dietas y no como tanto, siguiendo el régimen del lagarto. Como toda mujer, como toda mujer, como toda mujer, yo me puedo rentar y co...","No, hay que reconocer que estáis más delgado, porque antes tenía ahí más guata que las parrillas de la Lucas. Acuérdate que decía de gota de ácido, donde caía y comía ahí. Oye, si tenía mar un tarro palmito. Ya, sigue de...","¡Oh, Dios! Oh, my God. ¿Sabe qué? Estoy que me me cansé de tocar la guitarra. Cada tanto yo me como me No sé qué le pasa a usted, me canso de tocar la guitarra. Pero usted ya toca otra cosa. ¿Qué puede ser? A ver qué hay..."
17,17_natalia_chiqui_alison_javiera,"Meta-humor de escenario: natalia, chiqui, alison","Cluster con 79 segmentos (1974-2025) centrado en natalia, chiqui, alison, javiera, escenario. Predomina en rutinas de Alison Mandel, Natalia Cuevas.",Meta-humor de escenario,79,1974,2025,"natalia, chiqui, alison, javiera, escenario, colada, actriz, nati, javiera contador, piña colada","Alison Mandel, Natalia Cuevas, Javiera Contador","Muy bien, junto a nuestro jurado, al jurado internacional, vamos a avanzar esta noche para saludar a otro gran intérprete. Medio mundo lo aplaude y otro medio mundo lo quiere ver. He sido testigo de su éxito en muchos es...","Y llega un instante para relajarnos, para recrear el espíritu, para sonreír. Ella viene desde España; tiene talento, es actriz de radio, televisión y también de cine. Es una chistóloga que se juega una carta importante:...",¡Acá abajo! Parece que está más fuerte arriba. Punto tres. ¡Abajo! Vayan dándole fuerza al fon que todavía nos queda. Dicen que Martita Sánchez es figura excepcional. Ahora canta con Bo Cheli y su éxito ya es mundial por...
18,18_doctor_farmacia_examen_consulta,"Vida cotidiana y observación social: doctor, farmacia, examen","Cluster con 115 segmentos (1991-2025) centrado en doctor, farmacia, examen, consulta, viagra. Predomina en rutinas de Coco Legrand, Dino Gordillo.",Vida cotidiana y observación social,115,1991,2025,"doctor, farmacia, examen, consulta, viagra, pastilla, ginecólogo, señora, hospital","Coco Legrand, Dino Gordillo, Dinamita Show","""Oiga, no entendí nada"". Con el otorrinolaringólogo... no estaba el doctor, le dice a la enfermera: ""Buenos días, señorita. ¿Está el doctor?"". ""En este momento no, ¿por qué no lo espera en el hall?"". ""Mejor me quedo en l...","Se puede. Hm, hm, buenos días. ¿En qué le puedo ayudar, jefe? Hm, vengo a hospitalizarme. Será clínica a lizarme, porque esto es clínica, no es hospital. La silla en silla rueda, a a pie. ¿Cuánto pasó, tío? No sé, calcul...","Así con la inflamación para el parque Arauco, a comprarme las pantuflitas, los pijamitas. que compré una batita de seda que me costó el que tenía bueno. Y de ahí me acuerdo me llevaron a la clínica Germana, nunca lo voy..."
19,19_través_mar_viña_viña mar,"Vida cotidiana y observación social: través, mar, viña mar","Cluster con 77 segmentos (1973-2025) centrado en través, mar, viña mar, internacional, radio. Predomina en rutinas de Sandy, Gloria Benavides.",Vida cotidiana y observación social,77,1973,2025,"través, mar, viña mar, internacional, radio, hashtag, sandy, volvemos","Sandy, Gloria Benavides, Dino Gordillo","...poniendo el humor esta noche en Viña del Mar, 25.ª edición internacional del certamen de la música más importante de Chile y América.","Esto esto promete mucho, una gran carrera te espera. Y con esta imagen celebrando de Chiqui Aguayo, nos separamos brevemente. Al regreso estará conversando en el backstage la Chiqui acerca de sus impresiones, de sus sent...","Con Chiqui, acompáñanos, Chiqui, contigo. Nos vamos a una breve pausa. Volvemos con la competencia internacional de canciones y luego con Ya volvemos. Se vaya Villa 2025. Eso. Ya volvemos."
20,20_hermana_fea_curado_marihuana,"Vida cotidiana y observación social: hermana, fea, curado","Cluster con 98 segmentos (1974-2025) centrado en hermana, fea, curado, marihuana, jimmy. Predomina en rutinas de Hermógenes Conache, Dinamita Show.",Vida cotidiana y observación social,98,1974,2025,"hermana, fea, curado, marihuana, jimmy, copete, deporte, prima, borracho, hielo","Hermógenes Conache, Dinamita Show, Coco Legrand","Falta una hora para que comience el partido. Si es que yo me tengo que ir al teatro, güeón. Es así lo que está pasando con la violencia. Ahora, si vemos las noticias, por ejemplo, ¿qué pasa con el alcohol y las drogas? E...","para eso si te dije que no tenía plata ni mandar a pie. Otro día me fui a un micro, me estaban carteando, dije, ""Al las 11 que hay algo, mi timota."" Se fue caminando lo tito así, llega un cine y ustedes saben que en el v...","Estaba fumando, no, no hacemos nada. Eh, como decía yo para alejar los nervios. Oye, para ver si... todos los nervios, fui al médico para que me quitara las ganas de fumar. Pero si estáis fumando adentro, po. Pero sin ga..."
21,21_buenas noches_noches_buenas_pecadora,"Vida cotidiana y observación social: buenas noches, noches, buenas","Cluster con 80 segmentos (1978-2025) centrado en buenas noches, noches, buenas, pecadora, amable. Predomina en rutinas de Ricardo Meruane, Dino Gordillo.",Vida cotidiana y observación social,80,1978,2025,"buenas noches, noches, buenas, pecadora, amable, burrito, muchas, bam, hola, muchas muchas","Ricardo Meruane, Dino Gordillo, Natalia Cuevas","Muchas gracias, muy buenas noches, muchas gracias.","Adiós, amigo. Muchas gracias. Adiós. Adiós, amigo.","Gracias. Gracias. Amigos. Gracias. Oye, tranquilo. Gracias, muchachos. Gracias, muchachos. Amigos, queremos decirles algo. Gracias. Pero les queremos decir algo."
22,22_verdad_agradecer_emocionado_quiero agradecer,"Meta-humor de escenario: verdad, agradecer, emocionado","Cluster con 83 segmentos (1977-2025) centrado en verdad, agradecer, emocionado, quiero agradecer, muchas. Predomina en rutinas de Stefan Kramer, Juan Pablo López.",Meta-humor de escenario,83,1977,2025,"verdad, agradecer, emocionado, quiero agradecer, muchas, sido, corazón, agradezco, palabra, público","Stefan Kramer, Juan Pablo López, Edo Caroe",Qué lindo y qué merecido otros aplausos para un artista que ha mostrado una nueva faceta. Yo le quiero agradecer el premio en todo caso y la única forma que yo puedo decirle muchas gracias por estar con nosotros es brind...,Gracias. ¡Muchísimas gracias! Gracias. Gracias. ¡Muchísimas gracias de corazón! Gracias. Muchísimas gracias. Gracias de corazón. No. Gracias. Gracias por este apoyo maravilloso que me brindan esta noche. Gracias. Gracias...,"Se ha cumplido un sueño importante para este artista que imaginó en más de una oportunidad de estar con ustedes en una noche como hoy. Gracias, gracias."
23,23_amante_marido_mujer_matrimonio,"Relaciones y vida amorosa: amante, marido, mujer","Cluster con 89 segmentos (1974-2025) centrado en amante, marido, mujer, matrimonio, tenis. Predomina en rutinas de Dino Gordillo, Ernesto Belloni.",Relaciones y vida amorosa,89,1974,2025,"amante, marido, mujer, matrimonio, tenis, mírala, toallita, supermercado, naricita, cambian","Dino Gordillo, Ernesto Belloni, Jenny Cavallo","Ese que se gasta 500 lucas con la amante, pide hasta préstamos para mantenerla y ni se queja. Y en la mañana, cuando se da la pega, la mujer toda amorosa le dice: «Negro, déjate una luquita para fruta». Te acorta la boca...","El marido la queda mirando. El marido la queda mirando y le dice, ""A ver, a ver, ¿qué le está diciendo? Repíteme."" Cuando Mira, cuando es tan fácil llevar una buena relación matrimonial, especialmente cuando la mujer te...","dos damas bastante entradas en edad y le dice una a la otra: «¿Está, eh, con tratamiento con tu marido?». «Sí, él trata y yo miento». Y un día dice que le pregunta al esposo: «Oye, maridito, ¿nosotros tenemos orgasmo?»...."
24,24_amor_dije_pa_pa pa,"Vida cotidiana y observación social: amor, dije, pa pa","Cluster con 96 segmentos (1973-2025) centrado en amor, dije, pa pa, conejo, dar beso. Predomina en rutinas de Dinamita Show, Paul Vásquez ""El Flaco"".",Vida cotidiana y observación social,96,1973,2025,"amor, dije, pa pa, conejo, dar beso, paul, dio, amor voy, beso","Dinamita Show, Paul Vásquez ""El Flaco"", Bombo Fica","Cuando la vi me enamoré, me enamoré como por vez primera. Por ella sí me amó siempre, y me agarré como sapo de pera. Era tan linda, más linda que la cresta. Sus ojos tumios, mi corazón aún cautivo. ¡Hey, tú, muchacha tri...",¿para qué me toca ahí el mío? Cuando llegué una gran oportunidad me recibió. Y el che se vino con su trutruca me cautivó. Como de las a mí me brindaron un platitud. Y un lindo chico que estaba atrás me tocó el full truck...,"yo no saqué pecho la quedé mirando, le dije, ""¿Sabés qué? Más flaca."" Muchas gracias. Gracias. Como buen chileno saqué pecho, la quedé mirando y le dije, ""¿Sabés qué? Más flaca."" ""Empecemos con el meneíto, el meneíto. Es..."
25,25_bailar_fiesta_bailemos_baile,"Parodias musicales: bailar, fiesta, bailemos","Cluster con 71 segmentos (1973-2025) centrado en bailar, fiesta, bailemos, baile, discoteca. Predomina en rutinas de Dinamita Show, Javiera Contador.",Parodias musicales,71,1973,2025,"bailar, fiesta, bailemos, baile, discoteca, beto, bailando, mina, música, cachete","Dinamita Show, Javiera Contador, Melón y Melame","...y la mía no, no va con mi amor. Si me preguntan que si no que yo bailo, yo le contesto «latinoamericano». Si me pregunta el mismo que yo bailo, yo le contesto «latinoamericano». Cha-con-cha. Y lo que pregunta, cha-con...","Casa Antonio, ahora te veo. ¿Y qué mejor canción que la fiesta para todos ustedes? Dice así, ""Arriba, vamos allá. Viña del Mar, arriba es tu corazón."" ¡Ah! La gente va llegando al baile, la gente va llegando al baile y t...","vino blanco, del otro, mucha gente y la casa. La casa nueva, nuestra casa, fruto de tantos años llenos de penas blancas. Primero hubo discursos, me felicitaron, hasta formaron fotos con la vieja abrazados. Luego, como es..."
26,26_celular_pegado_teléfono_whatsapp,"Vida cotidiana y observación social: celular, pegado, teléfono","Cluster con 72 segmentos (1974-2025) centrado en celular, pegado, teléfono, whatsapp, llamar. Predomina en rutinas de Los Atletas de la Risa, Paulo Iglesias.",Vida cotidiana y observación social,72,1974,2025,"celular, pegado, teléfono, whatsapp, llamar, alvarito, tablet, plan, momia, tic","Los Atletas de la Risa, Paulo Iglesias, George Harris","Ahora cualquier gil tiene celular. Yo tengo. Sí, así uno soy gil. Yo tengo el teléfono. Miren, cabro, yo no soy muy tecnológico, pero me compré esta hueá. Ya. Parece botiquín la hueá. Que soy cachipo, tremenda cuestiónci...","No cuelga, tú primero. No, después de ti. Y si eso no era para ver quién cuelga primero. Y si le cuelga a él, lo vuelve a llamar. ¿Por qué me colgaste? Y y ¿Quién paga las cuentas? Bolas tristes, ¿quién otro? Si bolas tr...","No, que que venía en otra infeliz, preocupado de manejar. No, y ahora el tema de los celulares apareció hasta un celular, un celular light para guatones. Viene sin menú, viene sin menú. ¿Cómo está la galería por allá? Ha..."
27,27_soltera_bebé_arturo vidal_tinder,"Relaciones y vida amorosa: soltera, bebé, arturo vidal","Cluster con 64 segmentos (1973-2025) centrado en soltera, bebé, arturo vidal, tinder, vidal. Predomina en rutinas de Daniela ""Chiqui"" Aguayo, Alison Mandel.",Relaciones y vida amorosa,64,1973,2025,"soltera, bebé, arturo vidal, tinder, vidal, sacó, sucio, mino, arturo, novia","Daniela ""Chiqui"" Aguayo, Alison Mandel, Dinamita Show","Este es este es chicharrones. No me aprendí a mí que yo soy un hombre macho, que las mujeres me aman, las mujeres me quieren. Las mujeres me adoran a mí y no son fieles y leales. Espérate, estás dando el teléfono. ¿Aló?...","Incluso dicen por ahí que yo soy un long play. ¡Play boy, huevón! Eso. Eso era. Claro. ¡Qué play! Y que cuando uno tiene suerte con las mujeres, naturalmente se casa. ¿Y qué hace antes de casarse? Ir a pedir la, la mano...","Y esos matrimonios de día bien estáis fijado que son una lata, un día sábado te creo, pero un viernes son una lata y vos habéis visto como son los matrimonios clase media que son como son generosos, los gallos son matrim..."
